SegmentID,Pipes to House,State of House
57a63f0e-7c18-487b-99d1-5be36bdaf0a5,C1,Retail
9be18c15-ee70-4de6-999b-b4d6f487dd9c,C1,Office
381ba406-9841-4c7e-85d7-59180f19b14a,C1,Retail
a94f0132-e853-46d9-950f-b6e9f23c47bd,C1,Single-Family
2f073333-58b0-4b36-a87a-865fd3a1e0e8,C4,Office
9b65d0a4-6c84-4068-93a8-a089ea840479,C4,Retail
67cf1375-2ce6-469a-b1ab-4476386043a4,C2,Single-Family
f1f3ab8b-c473-42f6-8e1b-3944cfcb8261,C5,Retail
274c4189-9f2b-485c-a05b-99415ab2b370,C2,Office
acbd107f-9474-4694-8a7e-fb7cd1e09c78,C3,Retail
27b8305c-c7c2-4f47-942c-8b2d1b4c8340,C4,Single-Family
e7eb70fc-b53d-4e20-bae6-8b67b98dcbfa,C3,Office
bf9f2fd6-1c86-4709-90a6-b46d245b2de3,C1,Retail
5a87eb9f-69f6-4d44-9ba6-7b4aaac2df19,C4,Retail
8ff2b510-79e8-4aef-990f-c30c779aef5b,C4,Retail
74824c8c-6d09-44e4-9a4f-4a85c179d764,C1,Retail
10469d2b-3b9c-4d90-a5f7-fb4af47fd1e1,C2,Retail
aa6f4977-2526-4264-a8a2-cd08c8b91f0f,C5,Office
99e876ea-055b-478d-b9c5-d18945c83d73,C4,Office
ad1e1346-891c-45a1-b1a3-e05ad0700b25,C1,Retail
d3345c56-19df-41c6-90e8-f49cb3709a26,C1,Retail
a7bdb9dc-828e-4098-bf47-30b369343c38,C2,Office
bca52912-5129-4798-8bcf-4d6fb3ef0ee5,C2,Single-Family
7287cc2a-3f3e-4fc6-85aa-ffb945f345eb,C1,Office
1a1fd9f1-e78b-44f2-a6f0-69d869334a78,C3,Retail
44dfde5c-ef60-4f27-8536-b46d9821f998,C1,Office
6d9fcb5f-9957-4b66-a6df-e8bc4c5c75d2,C4,Retail
c86714e8-8ecb-4fd5-90ff-834495315a48,C4,Retail
2154e467-2bd4-4f62-a85e-f5ab9d7f8950,C1,Retail
ff64f928-9d6d-4938-9509-3c5e31847d13,C1,Single-Family
9f1c1c0c-cd82-4f92-80cc-4ac64c82bb98,C1,Single-Family
9f1c1c1c-cd82-4f92-80cc-4ac64c82bb98,C1,Office
3cbd7c2a-6bda-4c93-9c0f-5fc4e64872b1,C2,Office
cc1f12e3-8a5c-4fa3-a724-3a4ac53a6885,C5,Single-Family
124f88ea-5761-41a3-b6a7-4a3e27a276f5,C2,Retail
ff3e21b2-5c3c-4fc4-8f4b-7a5b72c17b1c,C2,Retail
43b0c5d9-5d2d-42ec-8c2f-3d6f7f5191bc,C3,Single-Family
a8c92f76-2e4b-451b-bc4f-5c6f72e19b2a,C1,Retail
47f1d2e8-8c4d-4e71-bd4a-6e7b92f5a7c2,C2,Office
