SegmentID,Pipe Type,Material,Material Density,Diameter (cm),Estimated Lifetime,Soil
57a63f0e-7c18-487b-99d1-5be36bdaf0a5,Service Line,Standard (Galvanized) Steel,7.85,4.1,80,Clay
57954d55-957a-4144-bce1-b582417f7bd3,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Clay
9be18c15-ee70-4de6-999b-b4d6f487dd9c,Service Line,Standard (Galvanized) Steel,7.85,3.5,80,Clay
8317d426-99fb-4175-9d9c-7b2c015d5762,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Dirt
381ba406-9841-4c7e-85d7-59180f19b14a,Service Line,Standard (Galvanized) Steel,7.85,4.1,80,Clay
b38c419d-0f19-4975-8d7a-d3ff8a77ecbd,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Clay
e119faae-ae74-4da6-9e26-8c826a383c58,Service Line,Standard (Galvanized) Steel,7.85,2.7,80,Clay
a8414705-99ee-4986-b13d-16a8a7b302ab,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Dirt
70f14523-2812-475a-b7fd-a007d034faa8,Service Line,Standard (Galvanized) Steel,7.85,3.5,80,Clay
e40eab09-15ae-4676-8833-7b61a8a4d3cf,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Clay
a94f0132-e853-46d9-950f-b6e9f23c47bd,Service Line,Standard (Galvanized) Steel,7.85,4.1,80,Clay
263bcf69-70c8-4f21-80fb-6696028fdd93,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Clay
2f073333-58b0-4b36-a87a-865fd3a1e08e,Service Line,Standard (Galvanized) Steel,7.85,2.7,80,Clay
8c19f633-82df-4936-a459-967d5adc182b,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Dirt
9b65d0a4-6c84-4068-93a8-a089ea840479,Service Line,Standard (Galvanized) Steel,7.85,4.1,80,Dirt
925f3da7-0a80-424e-b19d-d0582a0902ee,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Clay
84d3ecd4-3779-4682-951d-9718a871596e,Service Line,Standard (Galvanized) Steel,7.85,3.5,80,Dirt
c4a2b44a-8ae6-4ce6-a513-82f0fee27920,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Clay
67cf1375-2ce6-469a-b1ab-4476386043a4,Service Line,Standard (Galvanized) Steel,7.85,4.1,80,Clay
e35fc813-63e0-471d-94c5-341fc62c6faf,City Pipe Main,Standard (Galvanized) Steel,7.85,30.48,80,Dirt
